smiles,fgs,fgsmi,fgmol
O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2,"[{0, 1, 2}, {6}, {9}, {12}, {18}, {20}, {21, 22, 23, 29, 30}, {15}]","['O=C([R])N([R])[R]', 'F[R]', 'F[R]', 'F[R]', 'O[Car]', 'O=[Car]', 'O=C([R])N([R])CO[R]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6730>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6ab0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5b60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6490>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6a40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a71b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7300>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a73e0>]"
CC1(C)C2CCC1(CS(=O)(=O)O)C(=O)C2=Cc1ccc(C=C2C(=O)C3(CS(=O)(=O)O)CCC2C3(C)C)cc1,"[{8, 9, 10, 11}, {12, 13, 14, 15}, {20, 21, 22, 23}, {26, 27, 28, 29}]","['O=S(=O)(O)[R]', 'C=CC(=O)[R]', 'C=CC(=O)[R]', 'O=S(=O)(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6880>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6f80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6e30>]"
N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,"[{0, 1}, {37}, {8}, {17}, {19, 20, 21}, {26}, {27}, {28}, {29}, {30}]","['C#N', 'N[Cal]', '[R]N[R]', 'F[R]', 'O=C([R])N([R])[R]', 'F[R]', 'F[R]', 'F[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7530>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a61f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a76f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a75a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7610>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5a10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7920>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7840>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7370>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7990>]"
CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,"[{1}, {4}, {8, 7}, {15}, {20, 21, 22, 23}]","['[R]N([R])[R]', '[R]N([R])[R]', 'C=C', '[R]S[R]', 'O=S(=O)([R])N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6f10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7a00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a77d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6ce0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a70d0>]"
CC(C)(N)Cc1ccccc1,[{3}],['N[Cal]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7b50>]
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,"[{0, 1}, {3}, {13}]","['C#C', 'O[Cal]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7220>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7a70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6b90>]"
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,"[{8, 9, 10}, {3}]","['O=C([R])N([R])[R]', '[R]N[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7450>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6dc0>]"
CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,"[{1, 2, 3}, {30}, {10}, {12}, {20}, {26}, {27}]","['O=C([R])N([R])[R]', 'F[R]', '[Nar]', '[Nar]', '[Nar]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6c00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a5f50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a6c70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7140>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7bc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7c30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7760>]"
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1,"[{8, 9, 10, 11}, {20, 21, 22}]","['C=CC(=O)[R]', 'O=C([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7d80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7680>]"
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,"[{0, 1, 20}, {3, 4}, {16, 14, 15}]","['O=C([R])N([R])[R]', 'C=N[R]', 'O=[N+]([O-])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7e60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7290>, <rdkit.Chem.rdchem.Mol object at 0x7fe45d0a7ed0>]"
