smiles,fgs,fgsmi,fgmol
CCOCCOC(=O)/C=C/c1ccc(OC)cc1,"[{2}, {5, 6, 7, 8, 9}, {14}]","['[R]O[R]', 'C=CC(=O)O[R]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7a70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7370>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7300>]"
CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,"[{5, 6, 7}, {9, 11}, {18, 19, 20, 21}]","['O=C([R])O[R]', 'O=C([R])[R]', 'C=CC(=O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf75a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7bc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7920>]"
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"[{27}, {9, 10, 11}]","['O[Cal]', 'O=C([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf71b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7ae0>]"
Nc1nc(=O)c2c([nH]1)NC[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,"[{0}, {32, 33, 31}, {4}, {8}, {12}, {17, 18, 19}, {24, 25, 23}, {26, 27, 28}, {2}, {7}]","['N[Car]', 'O=CN([R])[R]', 'O=[Car]', '[R]N[R]', '[R]N[R]', 'O=C([R])N([R])[R]', 'O=C(O)[R]', 'O=C(O)[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7df0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7220>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf70d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7990>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf77d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14120>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce142e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14510>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14660>]"
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,"[{3}, {8, 9, 6, 7}, {12, 13, 14, 15, 16, 17, 18, 19}, {21, 22, 23}, {27}, {29}, {31}, {34, 35, 36}, {39}, {41}, {45}, {48}, {51}, {53, 54, 55}, {60}, {64, 62, 63}]","['O[Cal]', 'C=CC=C', 'C=CC=CC=CC=C', '[R]OCO[R]', 'O[Cal]', 'N[Cal]', 'O[Cal]', 'OCO[R]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O[Cal]', 'O=C([R])O[R]', 'O[Cal]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14b30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14ba0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14c80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7760>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf76f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7b50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14ac0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14cf0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14c10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14dd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14eb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14f20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15000>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15070>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce150e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15150>]"
N=C(N)NS(=O)(=O)c1ccc(N)cc1,"[{0, 1, 2, 3, 4, 5, 6}, {11}]","['O=S(=O)([R])N([R])C(=N[R])N([R])[R]', 'N[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14a50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce147b0>]"
ClC=C(Cl)Cl,"[{0, 1, 2, 3, 4}]",['ClC=C(Cl)Cl'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf5d20>]
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,"[{3}, {5, 6, 7, 8, 9}, {11}, {16, 17, 13, 14, 15}]","['[R]N([R])[R]', 'O=C([R])N([R])C(=O)[R]', '[R]N([R])[R]', 'O=C([R])N([R])C(=O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14d60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf6570>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf78b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14820>]"
OC1OC[C@@H](O)[C@H](O)[C@H]1O,"[{0, 1, 2}, {5}, {7}, {9}]","['OCO[R]', 'O[Cal]', 'O[Cal]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14890>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf6f10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf6e30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14190>]"
O=C1CCO1,"[{0, 1, 4}]",['O=C([R])O[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7840>]
C[C@]12CC[C@@H]3c4ccc(OC5CCCC5)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,"[{9}, {25}, {23}]","['[R]O[R]', 'O[Cal]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdf7610>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14e40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce145f0>]"
CCCCCCc1ccc(O)cc1O,"[{10}, {13}]","['O[Car]', 'O[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14f90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce143c0>]"
CC[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,"[{2}, {8, 9, 7}, {11}]","['[R][N+]([R])([R])[R]', 'O=C([R])O[R]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14580>, <rdkit.Chem.rdchem.Mol object at 0x7fe45cdf74c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce149e0>]"
CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,"[{3, 4, 5}, {10}, {12}, {14}, {7}]","['O=C([R])O[R]', '[R]I', 'O=[Car]', '[R]I', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14970>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce152a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce146d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15230>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce140b0>]"
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,"[{1, 2, 3}, {8, 9, 7}, {12}, {15}, {17}, {19}]","['O=C([R])N([R])[R]', 'O=C(O)[R]', '[R]I', '[R]I', 'N[Car]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14740>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15620>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15700>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce155b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce157e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15770>]"
C#CC(C)(O)CC,"[{0, 1}, {4}]","['C#C', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce14900>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14270>]"
CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I,"[{1, 3, 4}, {7}, {10}, {16, 14, 15}, {18}]","['[R]N=CN([R])[R]', '[R]I', '[R]I', 'O=C(O)[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15540>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce151c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14200>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14350>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15690>]"
CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,"[{2, 3, 4}, {6, 7}, {9, 10, 12}, {20, 21, 22, 23, 24, 25}, {30}]","['O=C([R])O[R]', 'O=C([R])[R]', 'O=C([R])O[R]', 'C=CC(=O)C=C', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15380>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce159a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15460>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15a80>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce14430>]"
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,"[{1, 2, 3}, {6}, {9}, {11, 12, 13}, {15}]","['O=C([R])N([R])[R]', '[R]I', '[R]I', 'O=C(O)[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15310>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce153f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15d90>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15c40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce144a0>]"
Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,"[{8, 9}, {16, 17, 18, 15}, {24, 21, 22, 23}, {26}, {29}, {36, 37}, {43, 44, 45, 46}, {49, 50, 51, 52}, {54}, {57}]","['[R]N=N[R]', 'O=S(=O)(O)[R]', 'O=S(=O)(O)[R]', 'N[Car]', 'O[Car]', '[R]N=N[R]', 'O=S(=O)(O)[R]', 'O=S(=O)(O)[R]', 'N[Car]', 'O[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16180>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16340>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15e00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce162d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15d20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15ee0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce163b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16570>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16420>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce165e0>]"
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(Cl)[C@@H](Cl)C[C@]3(C)[C@]2(C(=O)CO)O1,"[{1, 3, 31}, {10}, {16, 11, 12, 13, 14, 15}, {20}, {22}, {27, 28}, {30}]","['[R]OCO[R]', 'F[R]', 'C=CC(=O)C=C', 'Cl[R]', 'Cl[R]', 'O=C([R])[R]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15cb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16260>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16030>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15fc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce154d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15af0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16500>]"
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,"[{1, 2, 3}, {7}, {9, 10, 12}, {14}, {16, 17, 18}, {20}]","['O=C([R])N([R])[R]', '[R]I', 'O=C([R])N([R])[R]', '[R]I', 'O=C(O)[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce166c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16110>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16490>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16960>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16650>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15e70>]"
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,"[{1}, {8, 9, 10}, {12}]","['[R]N([R])[R]', 'O=C([R])O[R]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16730>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce167a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16880>]"
CC(C)NC(C)Cc1ccc(I)cc1,"[{11}, {3}]","['[R]I', '[R]N[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16ab0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15b60>]"
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,"[{1}, {8, 5, 6, 7}, {26}]","['[R]N([R])[R]', 'O=C(O[R])N([R])[R]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce169d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce158c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16c70>]"
CCN(CC)C(=S)SC(=S)N(CC)CC,"[{2, 5, 6, 7, 8, 9, 10}]",['S=C(SC(=S)N([R])[R])N([R])[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16810>]
O=C(O)CC(O)C(=O)O,"[{0, 1, 2}, {5}, {8, 6, 7}]","['O=C(O)[R]', 'O[Cal]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15f50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16ce0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16e30>]"
O=C(O)[C@@H](O)[C@H](O)C(=O)O,"[{0, 1, 2}, {4}, {6}, {8, 9, 7}]","['O=C(O)[R]', 'O[Cal]', 'O[Cal]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce161f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15850>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15bd0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16dc0>]"
CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"[{1, 2}, {9, 10, 12, 13, 14, 15}]","['O=C([R])[R]', 'C=CC=CC(=O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16c00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16b90>]"
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,"[{0, 1, 2, 10}, {7}, {15}, {17}]","['O=C(N([R])[R])N([R])[R]', 'Cl[R]', 'Cl[R]', 'Cl[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17060>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce15930>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce170d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16f10>]"
C[75Se]CC[C@H](N)C(=O)O,"[{1}, {5}, {8, 6, 7}]","['[R][Se][R]', 'N[Cal]', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce160a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17220>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17300>]"
[AsH3],[{0}],['[R][As]([R])[R]'],[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce174c0>]
CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,"[{17}, {13}]","['[R]O[R]', '[R]N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce16b20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16d50>]"
OCCOc1ccccc1,"[{0}, {3}]","['O[Cal]', '[R]O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce168f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16f80>]"
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,"[{6}, {9}, {11}, {13}, {16, 14, 15}]","['[R]I', '[R]I', 'N[Car]', '[R]I', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce15a10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16ea0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce175a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16a40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce16ff0>]"
COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,"[{16}, {1}, {6, 7}]","['O[Car]', '[R]O[R]', 'O=C([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17290>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17450>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17530>]"
CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,"[{1, 2, 3}, {9, 10, 12}]","['O=C([R])O[R]', 'O=C([R])O[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17840>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17680>]"
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,"[{16}, {27}, {21}, {32}, {36}]","['[R][N+]([R])([R])[R]', '[R]O[R]', '[R]N([R])[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce171b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce173e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce176f0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17990>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17d80>]"
Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,"[{8, 9}, {12, 13, 14, 15}, {20, 21, 22, 23}, {26}, {29}, {36, 37}, {40, 41, 42, 43}, {48, 49, 50, 51}, {54}, {57}]","['[R]N=N[R]', 'O=S(=O)(O)[R]', 'O=S(=O)(O)[R]', 'N[Car]', 'O[Car]', '[R]N=N[R]', 'O=S(=O)(O)[R]', 'O=S(=O)(O)[R]', 'N[Car]', 'O[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17920>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17610>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17f40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17b50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38270>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38190>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38200>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce383c0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38120>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38430>]"
CCCCCCCCCCCCCCCCCC(=O)OCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,"[{35, 36, 37, 38, 39, 40}, {45}, {17, 18, 19}, {21, 22, 23}, {25, 26}, {28}]","['C=CC(=O)C=C', 'O[Cal]', 'O=C([R])O[R]', 'O=C([R])O[R]', 'O=C([R])[R]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17a70>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17df0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17ae0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce380b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17bc0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17140>]"
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,"[{3, 4, 5}, {8}, {11}, {17, 18, 19}, {21}]","['O=C([R])N([R])[R]', '[R]I', '[R]I', 'O=C(O)[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce17ed0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17a00>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17ca0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce382e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce178b0>]"
O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,"[{0, 1, 21}, {33}, {8, 6, 7}, {11}, {14}, {16, 17, 18}, {20}, {24}, {27}, {29, 30, 31}]","['O=C([R])N([R])[R]', '[R]I', 'O=C([R])N([R])[R]', '[R]I', '[R]I', 'O=C(O)[R]', '[R]I', '[R]I', '[R]I', 'O=C(O)[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38820>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce177d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17c30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38b30>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38580>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38900>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38ac0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38ba0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38c10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38c80>]"
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,"[{0}, {18}, {12}, {28}, {7}, {10}]","['Cl[R]', '[R]S[R]', '[R]O[R]', 'Cl[R]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce386d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17e60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38a50>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17d10>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38350>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce384a0>]"
CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1,"[{2, 3, 4}, {19}]","['O=C([R])O[R]', '[R]I']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45cdda7a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38dd0>]"
O=C(CO)CO,"[{0, 1}, {3}, {5}]","['O=C([R])[R]', 'O[Cal]', 'O[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38970>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce389e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce17760>]"
Oc1cccc(O)c1O,"[{0}, {8}, {6}]","['O[Car]', 'O[Car]', 'O[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38660>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38cf0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38740>]"
Cc1cccc(C)c1NC(=O)C(C)N,"[{8, 9, 10}, {13}]","['O=C([R])N([R])[R]', 'N[Cal]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce390e0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38510>]"
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,"[{16}, {1}, {18}]","['O[Car]', '[R]N([R])[R]', 'O[Car]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38040>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38e40>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39070>]"
N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,"[{0, 1}, {26}, {16}, {18}]","['C#N', 'O=[Car]', '[Nar]', '[Nar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38eb0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce38f20>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce392a0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce391c0>]"
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,"[{8, 5, 6, 7}, {13}, {2}, {3}, {16}]","['O=S(=O)([R])N([R])[R]', 'N[Car]', '[Nar]', '[Nar]', '[Sar]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce394d0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39310>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce387b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39620>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39150>]"
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,"[{0, 1, 2, 18}, {7}]","['O=C(O[R])N([R])[R]', '[R]N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce38d60>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39380>]"
COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,"[{1}, {8}, {10, 11}, {17}]","['[R]O[R]', '[R]O[R]', 'O=C([R])[R]', '[R]N([R])[R]']","[<rdkit.Chem.rdchem.Mol object at 0x7fe45ce395b0>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39230>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce39540>, <rdkit.Chem.rdchem.Mol object at 0x7fe45ce385f0>]"
